  ,COMMESSA,ORE
  ,"          PROG  "" PROGETTAZIONE""",6.92
  ,"          SALD  "" SALDATURA""",4.4
  ,"     25/105  ""ARE SRL""",24.24
  ,"          IMBA  "" IMBALLAGGIO""",8.14
  ,"          NEST  "" TAGLIO / NESTING""",0.44
  ,"          PIEG  "" PIEGATURA""",9.19
  ,"          PROG  "" PROGETTAZIONE""",6.47
  ,"     25/106  ""RIAM ASCENSORI SRL""",32.73
  ,"          IMBA  "" IMBALLAGGIO""",5.58
  ,"          NEST  "" TAGLIO / NESTING""",6.4
  ,"          PIEG  "" PIEGATURA""",14.68
  ,"          PROG  "" PROGETTAZIONE""",6.07
  ,"     25/107  ""RIAM ASCENSORI SRL""",55.67
  ,"          IMBA  "" IMBALLAGGIO""",18.88
  ,"          NEST  "" TAGLIO / NESTING""",6.45
  ,"          PIEG  "" PIEGATURA""",18.84
  ,"          PROG  "" PROGETTAZIONE""",7.51
  ,"          SALD  "" SALDATURA""",3.99
  ,"     25/108  ""RIAM ASCENSORI SRL""",45.23
  ,"          IMBA  "" IMBALLAGGIO""",21.62
  ,"          NEST  "" TAGLIO / NESTING""",5.21
  ,"          PIEG  "" PIEGATURA""",10.41
  ,"          PROG  "" PROGETTAZIONE""",7.51
  ,"          SALD  "" SALDATURA""",0.48
  ,"     25/109  ""RIAM ASCENSORI SRL""",39.96
  ,"          IMBA  "" IMBALLAGGIO""",3.78
  ,"          NEST  "" TAGLIO / NESTING""",4.35
  ,"          PIEG  "" PIEGATURA""",19.27
  ,"          PROG  "" PROGETTAZIONE""",7.37
  ,"          SALD  "" SALDATURA""",5.19
  ,"     25/110  ""RIAM ASCENSORI SRL""",51.13
  ,"          IMBA  "" IMBALLAGGIO""",17.38
  ,"          NEST  "" TAGLIO / NESTING""",7.23
  ,"          PIEG  "" PIEGATURA""",17.25
  ,"          PROG  "" PROGETTAZIONE""",8.22
  ,"          SALD  "" SALDATURA""",1.05
  ,"     25/111  ""RIAM ASCENSORI SRL""",80.48
  ,"          IMBA  "" IMBALLAGGIO""",20.67
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",21.2
  ,"          PROG  "" PROGETTAZIONE""",31.22
  ,"          SALD  "" SALDATURA""",6.39
  ,"     25/112  ""RIAM ASCENSORI SRL""",41.3
  ,"          IMBA  "" IMBALLAGGIO""",14.13
  ,"          NEST  "" TAGLIO / NESTING""",6.81
  ,"          PIEG  "" PIEGATURA""",12.91
  ,"          PROG  "" PROGETTAZIONE""",6.27
  ,"          SALD  "" SALDATURA""",1.18
  ,"     25/113  ""VIMA ASCENSORI SRL""",30.08
  ,"          IMBA  "" IMBALLAGGIO""",0.28
  ,"          NEST  "" TAGLIO / NESTING""",2.45
  ,"          PIEG  "" PIEGATURA""",9.86
  ,"          PROG  "" PROGETTAZIONE""",11.54
  ,"          SALD  "" SALDATURA""",5.95
  ,"     25/114  ""MBB ASCENSORI SRL""",2.23
  ,"          IMBA  "" IMBALLAGGIO""",1.4
  ,"          PROG  "" PROGETTAZIONE""",0.83
  ,"     25/115  ""CEST SRL""",78.42
  ,"          IMBA  "" IMBALLAGGIO""",17.48
  ,"          NEST  "" TAGLIO / NESTING""",7.08
  ,"          PIEG  "" PIEGATURA""",24.32
  ,"          PROG  "" PROGETTAZIONE""",24.54
  ,"          SALD  "" SALDATURA""",5.0
  ,"     25/116  ""SAMER SRL""",44.19
  ,"          IMBA  "" IMBALLAGGIO""",7.59
  ,"          NEST  "" TAGLIO / NESTING""",3.27
  ,"          PIEG  "" PIEGATURA""",17.06
  ,"          PROG  "" PROGETTAZIONE""",12.03
  ,"          SALD  "" SALDATURA""",4.24
  ,"     25/117  ""CORAL""",22.84
  ,"          IMBA  "" IMBALLAGGIO""",11.76
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PROG  "" PROGETTAZIONE""",10.08
  ,"     25/118  ""ALPEMAC SRL""",0.2
  ,"          IMBA  "" IMBALLAGGIO""",0.2
  ,"     25/119  ""SAT SRL""",0.07
  ,"          IMBA  "" IMBALLAGGIO""",0.07
  ,"     25/120  ""CENTER LIFT SRL""",37.31
  ,"          IMBA  "" IMBALLAGGIO""",6.74
  ,"          NEST  "" TAGLIO / NESTING""",5.88
  ,"          PIEG  "" PIEGATURA""",13.94
  ,"          PROG  "" PROGETTAZIONE""",8.25
  ,"          SALD  "" SALDATURA""",2.5
  ,"     25/121  ""INOPIA GMBH""",46.28
  ,"          IMBA  "" IMBALLAGGIO""",7.44
  ,"          NEST  "" TAGLIO / NESTING""",7.95
  ,"          PIEG  "" PIEGATURA""",14.49
  ,"          PROG  "" PROGETTAZIONE""",11.93
  ,"          SALD  "" SALDATURA""",4.47
  ,"     25/124  ""TRR SOLUTIONS SRL""",112.76
  ,"          IMBA  "" IMBALLAGGIO""",37.81
  ,"          NEST  "" TAGLIO / NESTING""",10.3
  ,"          PIEG  "" PIEGATURA""",33.92
  ,"          PROG  "" PROGETTAZIONE""",9.38
  ,"          SALD  "" SALDATURA""",21.35
  ,"     25/125  ""MBB ASCENSORI SRL""",0.67
  ,"          PROG  "" PROGETTAZIONE""",0.67
  ,"     25/126  ""AMCA ELEVATORI SRL""",57.22
  ,"          IMBA  "" IMBALLAGGIO""",8.63
  ,"          NEST  "" TAGLIO / NESTING""",4.92
  ,"          PIEG  "" PIEGATURA""",15.81
  ,"          PROG  "" PROGETTAZIONE""",14.91
  ,"          SALD  "" SALDATURA""",12.95
  ,"     25/128  ""VITALI ASCENSORI SRL""",26.4
  ,"          IMBA  "" IMBALLAGGIO""",4.0
  ,"          NEST  "" TAGLIO / NESTING""",1.55
  ,"          PIEG  "" PIEGATURA""",7.7
  ,"          PROG  "" PROGETTAZIONE""",5.52
  ,"          SALD  "" SALDATURA""",7.63
  ,"     25/129  ""VALMET TISSUE CONVERTING SRL""",0.23
  ,"          IMBA  "" IMBALLAGGIO""",0.23
  ,"     25/130  ""CENTER LIFT SRL""",43.2
  ,"          IMBA  "" IMBALLAGGIO""",9.79
  ,"          NEST  "" TAGLIO / NESTING""",7.73
  ,"          PIEG  "" PIEGATURA""",13.57
  ,"          PROG  "" PROGETTAZIONE""",10.66
  ,"          SALD  "" SALDATURA""",1.45
  ,"     25/131  ""ARE SRL""",22.17
  ,"          IMBA  "" IMBALLAGGIO""",5.38
  ,"          NEST  "" TAGLIO / NESTING""",1.61
  ,"          PIEG  "" PIEGATURA""",8.06
  ,"          PROG  "" PROGETTAZIONE""",5.12
  ,"          SALD  "" SALDATURA""",2.0
  ,"     25/132  ""ARE SRL""",23.04
  ,"          IMBA  "" IMBALLAGGIO""",4.48
  ,"          NEST  "" TAGLIO / NESTING""",0.83
  ,"          PIEG  "" PIEGATURA""",7.83
  ,"          PROG  "" PROGETTAZIONE""",7.78
  ,"          SALD  "" SALDATURA""",2.12
  ,"     25/133  ""ARE SRL""",64.69
  ,"          IMBA  "" IMBALLAGGIO""",6.07
  ,"          NEST  "" TAGLIO / NESTING""",2.78
  ,"          PIEG  "" PIEGATURA""",13.19
  ,"          PROG  "" PROGETTAZIONE""",37.31
  ,"          SALD  "" SALDATURA""",5.34
  ,"     25/134  ""ARE SRL""",35.57
  ,"          IMBA  "" IMBALLAGGIO""",6.9
  ,"          NEST  "" TAGLIO / NESTING""",0.62
  ,"          PIEG  "" PIEGATURA""",15.87
  ,"          PROG  "" PROGETTAZIONE""",6.26
  ,"          SALD  "" SALDATURA""",5.92
  ,"     25/135  ""ARE SRL""",46.34
  ,"          IMBA  "" IMBALLAGGIO""",7.76
  ,"          NEST  "" TAGLIO / NESTING""",12.17
  ,"          PIEG  "" PIEGATURA""",13.49
  ,"          PROG  "" PROGETTAZIONE""",7.36
  ,"          SALD  "" SALDATURA""",5.56
  ,"     25/136  ""ARE SRL""",2.39
  ,"          IMBA  "" IMBALLAGGIO""",0.42
  ,"          PROG  "" PROGETTAZIONE""",1.97
  ,"     25/139  ""BIME ELEVATORI SRL""",93.44
  ,"          IMBA  "" IMBALLAGGIO""",25.91
  ,"          NEST  "" TAGLIO / NESTING""",7.62
  ,"          PIEG  "" PIEGATURA""",27.66
  ,"          PROG  "" PROGETTAZIONE""",24.27
  ,"          SALD  "" SALDATURA""",7.98
  ,"     25/140  ""BULGHERINI PU""",1.31
  ,"          IMBA  "" IMBALLAGGIO""",1.13
  ,"          PROG  "" PROGETTAZIONE""",0.18
  ,"     25/141  ""KEMIN NUTRISURANCE EUROPE SRL""",46.93
  ,"          IMBA  "" IMBALLAGGIO""",11.1
  ,"          NEST  "" TAGLIO / NESTING""",6.38
  ,"          PIEG  "" PIEGATURA""",17.59
  ,"          PROG  "" PROGETTAZIONE""",9.0
  ,"          SALD  "" SALDATURA""",2.86
  ,"     25/142  ""CORAL""",54.74
  ,"          IMBA  "" IMBALLAGGIO""",17.21
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",17.61
  ,"          PROG  "" PROGETTAZIONE""",11.11
  ,"          SALD  "" SALDATURA""",7.81
  ,"     25/143  ""ARE SRL""",1.45
  ,"          IMBA  "" IMBALLAGGIO""",0.23
  ,"          PIEG  "" PIEGATURA""",0.72
  ,"          PROG  "" PROGETTAZIONE""",0.5
  ,"     25/144  ""NEULIFT SPA""",3.7
  ,"          IMBA  "" IMBALLAGGIO""",3.18
  ,"          PROG  "" PROGETTAZIONE""",0.52
  ,"     25/145  ""USAPI SRL""",50.48
  ,"          IMBA  "" IMBALLAGGIO""",19.96
  ,"          NEST  "" TAGLIO / NESTING""",3.7
  ,"          PIEG  "" PIEGATURA""",14.46
  ,"          PROG  "" PROGETTAZIONE""",4.65
  ,"          SALD  "" SALDATURA""",7.71
  ,"     25/146  ""ASCENSORI BOSSI SNC""",94.26
  ,"          IMBA  "" IMBALLAGGIO""",17.83
  ,"          NEST  "" TAGLIO / NESTING""",7.69
  ,"          PIEG  "" PIEGATURA""",38.08
  ,"          PROG  "" PROGETTAZIONE""",21.83
  ,"          SALD  "" SALDATURA""",8.83
  ,"     25/147  ""AMMAR SRL""",34.49
  ,"          IMBA  "" IMBALLAGGIO""",2.08
  ,"          NEST  "" TAGLIO / NESTING""",9.7
  ,"          PIEG  "" PIEGATURA""",5.85
  ,"          PROG  "" PROGETTAZIONE""",13.29
  ,"          SALD  "" SALDATURA""",3.57
  ,"     25/148  ""MODESTO SRL""",30.2
  ,"          IMBA  "" IMBALLAGGIO""",7.07
  ,"          NEST  "" TAGLIO / NESTING""",1.85
  ,"          PIEG  "" PIEGATURA""",12.21
  ,"          PROG  "" PROGETTAZIONE""",6.72
  ,"          SALD  "" SALDATURA""",2.35
  ,"     25/149  ""SCHINDLER SPA""",1.32
  ,"          PIEG  "" PIEGATURA""",0.94
  ,"          PROG  "" PROGETTAZIONE""",0.38
  ,"     25/150  ""ASCENSORI BOSSI SNC""",38.28
  ,"          IMBA  "" IMBALLAGGIO""",11.69
  ,"          NEST  "" TAGLIO / NESTING""",1.34
  ,"          PIEG  "" PIEGATURA""",17.95
  ,"          PROG  "" PROGETTAZIONE""",7.3
  ,"     25/151  ""DETTO SRL""",6.17
  ,"          IMBA  "" IMBALLAGGIO""",1.75
  ,"          NEST  "" TAGLIO / NESTING""",0.3
  ,"          PIEG  "" PIEGATURA""",0.59
  ,"          PROG  "" PROGETTAZIONE""",3.53
  ,"     25/152  ""ARE SRL""",45.35
  ,"          IMBA  "" IMBALLAGGIO""",7.43
  ,"          NEST  "" TAGLIO / NESTING""",2.97
  ,"          PIEG  "" PIEGATURA""",11.2
  ,"          PROG  "" PROGETTAZIONE""",21.3
  ,"          SALD  "" SALDATURA""",2.45
  ,"     25/153  ""ARE SRL""",47.25
  ,"          IMBA  "" IMBALLAGGIO""",11.19
  ,"          NEST  "" TAGLIO / NESTING""",6.88
  ,"          PIEG  "" PIEGATURA""",13.38
  ,"          PROG  "" PROGETTAZIONE""",7.87
  ,"          SALD  "" SALDATURA""",7.93
  ,"     25/154  ""ARE SRL""",43.63
  ,"          IMBA  "" IMBALLAGGIO""",7.81
  ,"          NEST  "" TAGLIO / NESTING""",3.17
  ,"          PIEG  "" PIEGATURA""",13.37
  ,"          PROG  "" PROGETTAZIONE""",15.98
  ,"          SALD  "" SALDATURA""",3.3
  ,"     25/155  ""ZEUS ELECTROSTATIC SYSTEM SRL""",0.34
  ,"          IMBA  "" IMBALLAGGIO""",0.34
  ,"     25/156  ""ARE SRL""",28.15
  ,"          IMBA  "" IMBALLAGGIO""",4.77
  ,"          NEST  "" TAGLIO / NESTING""",4.97
  ,"          PIEG  "" PIEGATURA""",10.79
  ,"          PROG  "" PROGETTAZIONE""",5.09
  ,"          SALD  "" SALDATURA""",2.53
  ,"     25/157  ""ARE SRL""",28.78
  ,"          IMBA  "" IMBALLAGGIO""",7.18
  ,"          NEST  "" TAGLIO / NESTING""",2.83
  ,"          PIEG  "" PIEGATURA""",10.36
  ,"          PROG  "" PROGETTAZIONE""",6.61
  ,"          SALD  "" SALDATURA""",1.8
  ,"     25/158  ""ARE SRL""",35.05
  ,"          IMBA  "" IMBALLAGGIO""",8.13
  ,"          NEST  "" TAGLIO / NESTING""",3.44
  ,"          PIEG  "" PIEGATURA""",14.51
  ,"          PROG  "" PROGETTAZIONE""",6.72
  ,"          SALD  "" SALDATURA""",2.25
  ,"     25/159  ""ARE SRL""",41.44
  ,"          IMBA  "" IMBALLAGGIO""",5.63
  ,"          NEST  "" TAGLIO / NESTING""",5.76
  ,"          PIEG  "" PIEGATURA""",15.72
  ,"          PROG  "" PROGETTAZIONE""",9.16
  ,"          SALD  "" SALDATURA""",5.17
  ,"     25/160  ""ARE SRL""",39.0
  ,"          IMBA  "" IMBALLAGGIO""",8.91
  ,"          NEST  "" TAGLIO / NESTING""",4.9
  ,"          PIEG  "" PIEGATURA""",10.05
  ,"          PROG  "" PROGETTAZIONE""",14.19
  ,"          SALD  "" SALDATURA""",0.95
  ,"     25/161  ""ARE SRL""",30.63
  ,"          IMBA  "" IMBALLAGGIO""",6.28
  ,"          NEST  "" TAGLIO / NESTING""",1.1
  ,"          PIEG  "" PIEGATURA""",10.08
  ,"          PROG  "" PROGETTAZIONE""",4.78
  ,"          SALD  "" SALDATURA""",8.39
  ,"     25/162  ""ARE SRL""",36.35
  ,"          IMBA  "" IMBALLAGGIO""",12.32
  ,"          NEST  "" TAGLIO / NESTING""",1.61
  ,"          PIEG  "" PIEGATURA""",12.97
  ,"          PROG  "" PROGETTAZIONE""",7.32
  ,"          SALD  "" SALDATURA""",2.13
  ,"     25/163  ""AMMAR SRL""",54.92
  ,"          IMBA  "" IMBALLAGGIO""",8.82
  ,"          NEST  "" TAGLIO / NESTING""",5.78
  ,"          PIEG  "" PIEGATURA""",10.68
  ,"          PROG  "" PROGETTAZIONE""",24.17
  ,"          SALD  "" SALDATURA""",5.47
  ,"     25/164  ""ESA ELECOMP SERVIZI ASCENSORI SRL""",43.85
  ,"          IMBA  "" IMBALLAGGIO""",5.73
  ,"          NEST  "" TAGLIO / NESTING""",6.72
  ,"          PIEG  "" PIEGATURA""",9.21
  ,"          PROG  "" PROGETTAZIONE""",18.59
  ,"          SALD  "" SALDATURA""",3.6
  ,"     25/165  ""BONEDIL SRL""",88.57
  ,"          IMBA  "" IMBALLAGGIO""",20.83
  ,"          NEST  "" TAGLIO / NESTING""",7.36
  ,"          PIEG  "" PIEGATURA""",21.55
  ,"          PROG  "" PROGETTAZIONE""",27.16
  ,"          SALD  "" SALDATURA""",11.67
  ,"     25/167  ""ARE SRL""",1.35
  ,"          PIEG  "" PIEGATURA""",0.67
  ,"          PROG  "" PROGETTAZIONE""",0.68
  ,"     25/168  ""BECONSULT SRL""",19.3
  ,"          PROG  "" PROGETTAZIONE""",19.03
  ,"          SALD  "" SALDATURA""",0.27
  ,"     25/169  ""ALPEMAC SRL""",57.32
  ,"          IMBA  "" IMBALLAGGIO""",21.1
  ,"          NEST  "" TAGLIO / NESTING""",5.63
  ,"          PIEG  "" PIEGATURA""",13.34
  ,"          PROG  "" PROGETTAZIONE""",8.41
  ,"          SALD  "" SALDATURA""",8.84
  ,"     25/170  ""PANSERI ASCENSORI SRL""",2.37
  ,"          IMBA  "" IMBALLAGGIO""",0.25
  ,"          PIEG  "" PIEGATURA""",0.4
  ,"          PROG  "" PROGETTAZIONE""",1.72
  ,"     25/171  ""ARE SRL""",2.24
  ,"          IMBA  "" IMBALLAGGIO""",0.84
  ,"          PIEG  "" PIEGATURA""",0.35
  ,"          PROG  "" PROGETTAZIONE""",1.05
  ,"     25/172  ""BULGHERINI PU""",36.76
  ,"          IMBA  "" IMBALLAGGIO""",7.67
  ,"          NEST  "" TAGLIO / NESTING""",2.77
  ,"          PIEG  "" PIEGATURA""",13.91
  ,"          PROD  "" PRODUZIONE""",1.05
  ,"          PROG  "" PROGETTAZIONE""",5.73
  ,"          SALD  "" SALDATURA""",5.63
  ,"     25/173  ""RIAM ASCENSORI SRL""",8.91
  ,"          IMBA  "" IMBALLAGGIO""",1.64
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",0.87
  ,"          PROG  "" PROGETTAZIONE""",5.4
  ,"     25/174  ""RIAM ASCENSORI SRL""",47.77
  ,"          IMBA  "" IMBALLAGGIO""",8.99
  ,"          NEST  "" TAGLIO / NESTING""",5.72
  ,"          PIEG  "" PIEGATURA""",18.82
  ,"          PROG  "" PROGETTAZIONE""",8.77
  ,"          SALD  "" SALDATURA""",5.47
  ,"     25/175  ""RIAM ASCENSORI SRL""",44.83
  ,"          IMBA  "" IMBALLAGGIO""",11.02
  ,"          NEST  "" TAGLIO / NESTING""",5.05
  ,"          PIEG  "" PIEGATURA""",9.92
  ,"          PROG  "" PROGETTAZIONE""",17.06
  ,"          SALD  "" SALDATURA""",1.78
  ,"     25/176  ""LIFT 2000 GMBH-SRL""",147.44
  ,"          IMBA  "" IMBALLAGGIO""",23.1
  ,"          NEST  "" TAGLIO / NESTING""",7.74
  ,"          PIEG  "" PIEGATURA""",35.29
  ,"          PROG  "" PROGETTAZIONE""",52.22
  ,"          SALD  "" SALDATURA""",29.09
  ,"     25/177  ""DB ELEV SRL""",0.17
  ,"          IMBA  "" IMBALLAGGIO""",0.17
  ,"     25/178  ""LIFT 2000 GMBH-SRL""",69.67
  ,"          IMBA  "" IMBALLAGGIO""",18.26
  ,"          NEST  "" TAGLIO / NESTING""",7.56
  ,"          PIEG  "" PIEGATURA""",17.54
  ,"          PROG  "" PROGETTAZIONE""",17.86
  ,"          SALD  "" SALDATURA""",8.45
  ,"     25/179  ""LIFT 2000 GMBH-SRL""",56.45
  ,"          IMBA  "" IMBALLAGGIO""",15.79
  ,"          NEST  "" TAGLIO / NESTING""",7.85
  ,"          PIEG  "" PIEGATURA""",16.09
  ,"          PROG  "" PROGETTAZIONE""",3.97
  ,"          SALD  "" SALDATURA""",12.75
  ,"     25/180  ""BOSS TECHNOLOGIES SRL""",32.94
  ,"          IMBA  "" IMBALLAGGIO""",17.03
  ,"          PIEG  "" PIEGATURA""",9.73
  ,"          PROG  "" PROGETTAZIONE""",2.58
  ,"          SALD  "" SALDATURA""",3.6
  ,"     25/181  ""CEST SRL""",119.77
  ,"          IMBA  "" IMBALLAGGIO""",33.97
  ,"          NEST  "" TAGLIO / NESTING""",8.43
  ,"          PIEG  "" PIEGATURA""",35.1
  ,"          PROG  "" PROGETTAZIONE""",30.74
  ,"          SALD  "" SALDATURA""",11.53
  ,"     25/182  ""CSM LIFT SRLS""",22.25
  ,"          IMBA  "" IMBALLAGGIO""",7.83
  ,"          NEST  "" TAGLIO / NESTING""",2.67
  ,"          PIEG  "" PIEGATURA""",6.56
  ,"          PROG  "" PROGETTAZIONE""",5.19
  ,"     25/183  ""PAPILLO ASCENSORI SRL""",191.64
  ,"          IMBA  "" IMBALLAGGIO""",25.13
  ,"          NEST  "" TAGLIO / NESTING""",25.33
  ,"          PIEG  "" PIEGATURA""",39.34
  ,"          PROG  "" PROGETTAZIONE""",82.27
  ,"          SALD  "" SALDATURA""",19.57
  ,"     25/184  ""ARE SRL""",71.7
  ,"          IMBA  "" IMBALLAGGIO""",6.49
  ,"          NEST  "" TAGLIO / NESTING""",7.69
  ,"          PIEG  "" PIEGATURA""",8.09
  ,"          PROG  "" PROGETTAZIONE""",48.65
  ,"          SALD  "" SALDATURA""",0.78
  ,"     25/185  ""ARE SRL""",28.86
  ,"          IMBA  "" IMBALLAGGIO""",4.74
  ,"          NEST  "" TAGLIO / NESTING""",5.35
  ,"          PIEG  "" PIEGATURA""",9.31
  ,"          PROG  "" PROGETTAZIONE""",5.73
  ,"          SALD  "" SALDATURA""",3.73
  ,"     25/186  ""ARE SRL""",31.28
  ,"          IMBA  "" IMBALLAGGIO""",6.53
  ,"          NEST  "" TAGLIO / NESTING""",7.14
  ,"          PIEG  "" PIEGATURA""",7.9
  ,"          PROG  "" PROGETTAZIONE""",9.71
  ,"     25/187  ""ARE SRL""",115.11
  ,"          IMBA  "" IMBALLAGGIO""",8.38
  ,"          NEST  "" TAGLIO / NESTING""",9.56
  ,"          PIEG  "" PIEGATURA""",15.58
  ,"          PROG  "" PROGETTAZIONE""",80.86
  ,"          SALD  "" SALDATURA""",0.73
  ,"     25/188  ""ARE SRL""",31.23
  ,"          IMBA  "" IMBALLAGGIO""",6.88
  ,"          NEST  "" TAGLIO / NESTING""",5.4
  ,"          PIEG  "" PIEGATURA""",12.13
  ,"          PROG  "" PROGETTAZIONE""",6.82
  ,"     25/189  ""AMMAR SRL""",43.16
  ,"          IMBA  "" IMBALLAGGIO""",6.53
  ,"          NEST  "" TAGLIO / NESTING""",7.73
  ,"          PIEG  "" PIEGATURA""",11.64
  ,"          PROG  "" PROGETTAZIONE""",10.46
  ,"          SALD  "" SALDATURA""",6.8
  ,"     25/190  ""AMMAR SRL""",18.1
  ,"          IMBA  "" IMBALLAGGIO""",0.55
  ,"          NEST  "" TAGLIO / NESTING""",1.63
  ,"          PIEG  "" PIEGATURA""",7.01
  ,"          PROG  "" PROGETTAZIONE""",6.63
  ,"          SALD  "" SALDATURA""",2.28
  ,"     25/191  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",79.57
  ,"          IMBA  "" IMBALLAGGIO""",27.01
  ,"          NEST  "" TAGLIO / NESTING""",1.42
  ,"          PIEG  "" PIEGATURA""",9.84
  ,"          SALD  "" SALDATURA""",41.3
  ,"     25/192  ""SCHINDLER SPA""",0.5
  ,"          PROG  "" PROGETTAZIONE""",0.5
  ,"     25/193  ""CORAL""",80.95
  ,"          IMBA  "" IMBALLAGGIO""",18.23
  ,"          NEST  "" TAGLIO / NESTING""",4.46
  ,"          PIEG  "" PIEGATURA""",17.83
  ,"          PROG  "" PROGETTAZIONE""",7.48
  ,"          SALD  "" SALDATURA""",32.95
  ,"     25/194  ""GRIMEL SRL""",262.94
  ,"          IMBA  "" IMBALLAGGIO""",29.5
  ,"          NEST  "" TAGLIO / NESTING""",10.17
  ,"          PIEG  "" PIEGATURA""",41.05
  ,"          PROG  "" PROGETTAZIONE""",122.65
  ,"          SALD  "" SALDATURA""",59.57
  ,"     25/195  ""SAT SRL""",0.68
  ,"          PIEG  "" PIEGATURA""",0.68
  ,"     25/196  ""ELMA SPA""",29.82
  ,"          IMBA  "" IMBALLAGGIO""",5.79
  ,"          NEST  "" TAGLIO / NESTING""",3.32
  ,"          PIEG  "" PIEGATURA""",10.32
  ,"          PROG  "" PROGETTAZIONE""",6.84
  ,"          SALD  "" SALDATURA""",3.55
  ,"     25/197  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",0.22
  ,"          IMBA  "" IMBALLAGGIO""",0.1
  ,"          NEST  "" TAGLIO / NESTING""",0.12
  ,"     25/198  ""DETTO SRL""",8.04
  ,"          IMBA  "" IMBALLAGGIO""",0.83
  ,"          NEST  "" TAGLIO / NESTING""",2.1
  ,"          PIEG  "" PIEGATURA""",1.87
  ,"          PROG  "" PROGETTAZIONE""",0.57
  ,"          SALD  "" SALDATURA""",2.67
  ,"     25/199  ""FAMM SRL""",0.25
  ,"          IMBA  "" IMBALLAGGIO""",0.25
  ,"     25/200  ""TK ELEVATOR ITALIA SPA""",57.82
  ,"          IMBA  "" IMBALLAGGIO""",10.48
  ,"          NEST  "" TAGLIO / NESTING""",3.85
  ,"          PIEG  "" PIEGATURA""",14.47
  ,"          PROG  "" PROGETTAZIONE""",21.68
  ,"          SALD  "" SALDATURA""",7.34
  ,"     25/201  ""BULGHERINI PU""",37.58
  ,"          IMBA  "" IMBALLAGGIO""",5.54
  ,"          NEST  "" TAGLIO / NESTING""",4.1
  ,"          PIEG  "" PIEGATURA""",16.61
  ,"          PROG  "" PROGETTAZIONE""",6.76
  ,"          SALD  "" SALDATURA""",4.57
  ,"     25/202  ""SAT SRL""",44.07
  ,"          IMBA  "" IMBALLAGGIO""",2.56
  ,"          SALD  "" SALDATURA""",41.51
  ,"     25/203  ""ARE SRL""",37.79
  ,"          IMBA  "" IMBALLAGGIO""",9.64
  ,"          NEST  "" TAGLIO / NESTING""",5.83
  ,"          PIEG  "" PIEGATURA""",10.02
  ,"          PROG  "" PROGETTAZIONE""",11.27
  ,"          SALD  "" SALDATURA""",1.03
  ,"     25/204  ""ARE SRL""",64.14
  ,"          IMBA  "" IMBALLAGGIO""",7.18
  ,"          NEST  "" TAGLIO / NESTING""",2.88
  ,"          PIEG  "" PIEGATURA""",11.87
  ,"          PROG  "" PROGETTAZIONE""",39.92
  ,"          SALD  "" SALDATURA""",2.29
  ,"     25/205  ""ARE SRL""",37.09
  ,"          IMBA  "" IMBALLAGGIO""",8.97
  ,"          NEST  "" TAGLIO / NESTING""",2.13
  ,"          PIEG  "" PIEGATURA""",13.76
  ,"          PROG  "" PROGETTAZIONE""",7.28
  ,"          SALD  "" SALDATURA""",4.95
  ,"     25/206  ""ARE SRL""",39.46
  ,"          IMBA  "" IMBALLAGGIO""",12.18
  ,"          NEST  "" TAGLIO / NESTING""",6.93
  ,"          PIEG  "" PIEGATURA""",9.91
  ,"          PROG  "" PROGETTAZIONE""",10.44
  ,"     25/207  ""RIAM ASCENSORI SRL""",6.87
  ,"          IMBA  "" IMBALLAGGIO""",2.67
  ,"          NEST  "" TAGLIO / NESTING""",0.95
  ,"          PIEG  "" PIEGATURA""",3.25
  ,"     25/208  ""USAPI SRL""",36.34
  ,"          IMBA  "" IMBALLAGGIO""",15.36
  ,"          NEST  "" TAGLIO / NESTING""",6.49
  ,"          PIEG  "" PIEGATURA""",13.69
  ,"          PROG  "" PROGETTAZIONE""",0.8
  ,"     25/209  ""VALMET TISSUE CONVERTING SPA""",1.44
  ,"          IMBA  "" IMBALLAGGIO""",0.07
  ,"          PROG  "" PROGETTAZIONE""",1.37
